Article Title,authors_processed,Abstract,keywords,Publication Year,Journal Abbreviation,research_areas,Funding_orgs_processed,is_ocp,fund_org_count,is_um6p,Cited Reference Count
"Interactive effect of potassium and cadmium on growth, root morphology and chlorophyll a fluorescence in tomato plant","['Naciri, R', ' Lahrir, M', ' Benadis, C', ' Chtouki, M', ' Oukarroum, A']","A hydroponic experiment was conducted to evaluate the role of potassium (K) in tomato plant growth exposed to cadmium (Cd) stress. In this work, the effects of three potassium nutrition regimes (155, 232 and 310 ppm of K) combined with Cd at different levels (0, 12 and 25 mu M of CdCl2) on chlorophyll content index, root and shoot dry weights, root morphology, chlorophyll a fluorescence and translocation factor were analyzed. The results showed a negative effect of cadmium, at different concentrations, on all these parameters. However, optimization of K nutrition has shown promising results by limiting the negative effect of Cd. A positive effect of the high concentration of K (310 ppm) was observed on leaf chlorophyll content and chlorophyll a fluorescence compared to 232 and 155 ppm under Cd stress. K supply improved the electron transport at PSI side indicated by the increase in the amplitude of the I-P phase of OJIP transient. Also, K at a concentration of 310 ppm significantly reduced Cd translocation from root to shoot and improved root and shoot growth parameters in the presence of Cd. K supplementation can reduce the negative effect of Cd by improving photosynthesis and promoting chlorophyll synthesis. The optimization of nutrients composition and concentration might be a good strategy to reduce the impact of Cd on plant growth and physiology.",[],2021.0,SCI REP-UK,['Science & Technology - Other Topics'],[''],False,1,False,63
"Natural resources revenues, agriculture development and urbanization in African countries Evidence from a static and dynamic panel data","['Azizi, J']","This paper analyzes the mechanism through which natural resource abundance leads to a poor agricultural performance and a rapid urbanization in African countries. We conducted a static and dynamic panel data analysis for a panel of 39 African countries during the period 2000-2013. Our findings show that natural resources rents have a negative impact on agricultural performance and a positive impact on food import dependency. In addition, the results show a significant positive impact of resource rents on rural-urban migration and on urbanization rate. We argue that these findings can be explained by the government choice to specialize in primary commodities to the detriment of the development of other productive sectors, especially agriculture. Because policy makers tend to invest resources rents in developing infrastructures, mostly in cities, this inevitably creates some pulling factors for rural population in search of a better life. Consequently, we observe a rapid urbanization associated with serious problems (expansion of urban slums, limited access to improved water and sanitation facilities) in many African countries, highly dependent on natural resource rents.","['Natural resources curse', ' Agriculture', ' Urbanization', ' Panel data', ' GUM', 'ECONOMIC-GROWTH', ' BOOMING SECTOR', ' CURSE', ' INSTITUTIONS', ' ABUNDANCE', ' INDUSTRIALIZATION', ' CORRUPTION', ' DEMOCRACY', ' CITIES', ' EXPORT']",2020.0,NEW MEDIT,['Agriculture'],[''],False,1,False,61
"Leja, Fejer-Leja andR-Leja sequences for Richardson iteration","['Chkifa, MA']","We study Leja sequences on the unit disc and resulting mapped sequences to conventional domain, ellipses and real intervals, for the problem of relaxation of Richardson iteration. Using simple considerations, we establish upper and lower estimates for the growth of associated Newton polynomials and the so-called residual polynomials. These results broaden the understanding of such sequences and add to results established in Calvetti et al. (Numer. Math.67(1), 21-40,1994), Calvetti and Reichel (Numerical Algorithms11(1-4), 79-98,1996; J. Comput. Appl. Math.71(2), 267-2861996), Fischer and Reichel (Numer. Math.54(2), 225-242,1989), Nachtigal et al. (SIAM Journal on Matrix Analysis and Applications13(3), 796-825,1992), Reichel (SIAM J. Numer. Anal.25(6), 1359-1368,1988), Tal-Ezer (J. Sci. Comput.4(1), 25-60,1989). We also propose adaptive strategies for the selection of relaxation parameters that build on fast strategies (Balgama et al., Electron. Trans. Numer. Anal.7, 124-140,1998; Reichel, Linear Algebra and its Applications154-156(C), 389-414,1991) which are known to be suitable for the problem. In particular a Leja ordering is enforced on the mapped sequences. New strategies for conveniently confining the spectrums of certain matrices arising in PDEs discretization is described and demonstrate the flexibility of the Richardson iteration.","['Leja sequences', ' Fejer-Leja sequences', ' R-Leja sequences', ' Richardson iteration', ' Newton polynomials', 'INTERPOLATION', ' POINTS']",2020.0,NUMER ALGORITHMS,['Mathematics'],[''],False,1,False,22
Potential End-Use of a Europium Binary Photoluminescent Ink for Anti-Counterfeiting Security Documents,"['Moudam, O', ' Lakbita, O']","Composed of two europium complexes doped in polyvinyl butyral as the host material, a novel photoluminescent ink has been formulated by synthesizing Eu(FAC)(3)Phen as a red luminescent down-shifting emitter and employing SrAl2O4:Eu, Dy as a long persistent green phosphor. Both emitters are incorporated to design a photoluminescent ink with binary emission under a single UV excitation wavelength, where a red light is emitted when exposed under 325 nm, subsequently becoming green upon the UV light being switched off. The concept presented here is unequivocally distinct from the classical dual-mode emission, which requires a second extra near-infrared excitation around 980 nm to produce a binary luminescence. This work demonstrates the effortlessness of using one UV excitation for dual-mode visible emission while rendering the counterfeiting of confidential documents more onerous.",['COMPLEX'],2021.0,ACS OMEGA,['Chemistry'],['UMP'],False,1,True,17
Emerging opportunities for 2D-black phosphorus as a carrier transporting material in perovskite solar cells,"['Makha, M', ' Ghailane, A', ' Larhlimi, H', ' Alami, J']","Perovskite solar cells (PSCs) are the fast-growing branches of thin film photovoltaic technologies in the recent years. This technology offers several advantages; however, efforts are still being made to improve its performance and stability. On the other hand, two-dimensional (2D) black phosphorus (BP) has recently been rediscovered as a very promising 2D layered material for applications in electronic and optoelectronic devices. Thanks to its fundamental properties and structure, this material has opened up new opportunities for use in perovskite solar cells. In this perspective, this brief review summarizes recent advances in 2D-BP applications as a carrier transporting material in PSCs, tackling subjects on working mechanisms and the positive effect on device performance. Finally, the authors will highlight future research perspectives for the use of 2D-BP in different thin film technologies. (C) 2020 Elsevier B.V. All rights reserved.","['Black phosphorus', ' Thin film materials', ' Perovskite solar cells', ' Carrier transporting materials', 'BLACK PHOSPHORUS', ' HIGH-EFFICIENCY', ' QUANTUM DOTS', ' LAYER', ' TRANSPARENT', ' STABILITY', ' TIO2', ' PERFORMANCE', ' ELECTRODE', ' BANDGAP']",2020.0,MATER LETT,"['Materials Science', ' Physics']",['OCP'],True,1,False,50
Sterile phosphate as a novel calcic adsorbent for phosphorus removal from wastewater,"['Hassoune, H', ' Lachehab, A']","Sterile phosphate (SP) was investigated for phosphorus removal from wastewater using batch adsorption experiments. The novel adsorbent is a mining by-product obtained from the phosphate mining plants having a strong affinity with phosphorus ions present in wastewater. The results of the batch adsorption experiments indicated that 30 min of contact time between the adsorbent and wastewater was sufficient for attaining equilibrium. The phosphorus removal from wastewater increased with increasing initial phosphorus concentration, adsorbent dose and temperature, while it decreased with increasing initial pH values. The maximum phosphorus removal efficiency was noted to be 94.4%. It was achieved in slightly acidic conditions (pH = 4), with an adsorbent dose and initial phosphorus concentration of 3 g L-1 and 20 mg L-1, respectively, and at room temperature. Kinetic analysis showed that phosphorus adsorption onto sterile phosphate was best fitted with the pseudo-second order kinetic model. The adsorption equilibrium data fitted well to the Langmuir model equation, indicating monolayer coverage of the adsorbent. The adsorption capacity calculated from the Langmuir model equation was found to be 7.962 mg g(-1). Comparing with some industrial products and natural mineral adsorbents, sterile phosphate was found to be the most efficient adsorbent for phosphorus removal from wastewater.","['adsorption', ' batch experiments', ' phosphorus removal', ' sterile phosphate', ' wastewater', 'AQUEOUS-SOLUTION', ' ADSORPTION', ' NITROGEN', ' SLUDGE', ' EUTROPHICATION', ' ISOTHERMS', ' KAOLINITE', ' ARSENATE', ' SORPTION', ' ZEOLITE']",2020.0,WATER SCI TECHNOL,"['Engineering', ' Environmental Sciences & Ecology', ' Water Resources']",[''],False,1,False,62
Scabies complicated by necrotizing lymphocytic vasculitis in an infant,"['Nassih, H', ' El Hanafi, F', ' Elalaoui, S', ' El Qadiry, R', ' El Bourahouat, A', ' Sab, IA']","Scabies is very common among children. It is often a harmless infectious disease, responding well to antiparasitic medication. Nevertheless, severe forms can occur in immunocompromised populations like newborns and infants. We report a unique case of scabies in a three-months-old infant, complicated by generalized cutaneous lymphocytic vasculitis and unilateral acral necroses.","['Scabies', ' infant', ' necrotizing lymphocytic vasculitis', ' acral necrosis']",2020.0,PAN AFR MED J,"['Public, Environmental & Occupational Health']",[''],False,1,False,5
A conceptual framework for platform-based design of non-assembled products,"['Lager, T']","In this study, the use of platform-based product family design of assembled products has been reconceptualised into a framework of platform-based design of non-assembled products for the process industries. As a point of departure, platform-based design is defined as shared logic in a company's activities, and a function-based leveraging strategy is employed to identify non-assembled products with similar characteristics and commonalities among product families, related production processes and raw materials. It is proposed that a production platform philosophy and platform-based design of non-assembled products should rely on Product platforms, Process platforms and Raw-material platforms that are well-integrated into common Production platforms, in an end-to-end perspective. However, platform-based design of non-assembled products may differ depending on whether company production relies solely on a captive raw material base or on purchased raw materials on the open market, or on both. The congruence of the development of Production platforms with the QFD methodology and House of Quality was noted in this study, as well as the simplicity of using the methodology on homogeneous products compared to multi-level hierarchical assembled products. It is argued that the proposed conceptual framework can be used in internal company discussions and reviews whether and how such an approach in product innovation can be a fruitful avenue to explore and adapt.","['Product innovation', ' Production platform philosophy', ' Platform-based design', ' Production platforms', ' Process industries', ' Non-assembled products', ' QFD', 'QUALITY FUNCTION DEPLOYMENT', ' GENERIC PRODUCTION CAPABILITIES', ' PROCESS INDUSTRIES', ' COMPETITIVE ADVANTAGE', ' PROCESS INNOVATION', ' FIRMS', ' UK', ' CUSTOMER', ' THINKING', ' TOOLS']",2017.0,TECHNOVATION,"['Engineering', ' Business & Economics', ' Operations Research & Management Science']",[''],False,1,False,79
Design of hard coatings deposited by HiPIMS and dcMS,"['Ghailane, A', ' Makha, M', ' Larhlimi, H', ' Alami, J']","Hard coatings are extensively used in various industries, including automotive, aerospace and tooling industries. Hard coatings are deposited using, typically, chemical vapor deposition (CVD) and physical vapor deposition (PVD) techniques. Among these, magnetron sputtering (MS) is widely used to deposit hard transition metal nitrides and oxides. In the last 20 years, technological development gave birth to a highly ionized magnetron sputtering technique called High Power Impulse Magnetron Sputtering (HiPIMS) that allows application tailored coating development. The present article reviews studies on the deposition of hard coatings by HiPIMS and direct current MS (dcMS). The effect of alloying and coating architecture design on mechanical properties is highlighted, and comparative studies highlighting the difference between the two techniques are reviewed, while the effect of different HiPIMS deposition parameters on the mechanical properties of the coatings is presented and discussed. (C) 2020 Elsevier B.V. All rights reserved.","['Hard coatings', ' dcMS', ' HiPIMS', ' Hardness', ' Wear', 'PHYSICAL VAPOR-DEPOSITION', ' FILM PROPERTIES', ' HYBRID HIPIMS', ' MAGNETRON', ' TIN', ' MICROSTRUCTURE', ' PERFORMANCE', ' IONIZATION', ' BIAS']",2020.0,MATER LETT,"['Materials Science', ' Physics']",['OCP'],True,1,False,49
Image Compression Based on Block SVD Power Method,"['El Asnaoui, K']","In recent years, the important and fast growth in the development and demand of multimedia products is contributing to an insufficiency in the bandwidth of devices and network storage memory. Consequently, the theory of data compression becomes more significant for reducing data redundancy in order to allow more transfer and storage of data. In this context, this paper addresses the problem of lossy image compression. Indeed, this new proposed method is based on the block singular value decomposition (SVD) power method that overcomes the disadvantages of MATLAB's SVD function in order to make a lossy image compression. The experimental results show that the proposed algorithm has better compression performance compared with the existing compression algorithms that use MATLAB's SVD function. In addition, the proposed approach is simple in terms of implementation and can provide different degrees of error resilience, which gives, in a short execution time, a better image compression.","['Image compression', ' singular value decomposition', ' block SVD power method', ' lossy image compression', ' PSNR', 'SINGULAR-VALUE DECOMPOSITION', ' ALGORITHM']",2020.0,J INTELL SYST,['Computer Science'],[''],False,1,False,27
